	mass A					
t	x	y	θ	ω	α	
9.296	133.3	277.9	-295.6	357.4	290.0
9.329	72.45	298.7	-283.6	361.1	125.8
9.363	8.405	306.5	-271.6	365.1	86.83
9.396	-56.74	300.3	-259.3	367.7	-46.11
9.429	-118.8	280.7	-247.1	362.2	-327.3
9.463	-173.9	249.9	-235.2	346.2	-734.3
9.496	-218.3	210.8	-224.0	313.8	-684.8
9.529	-250.7	170.7	-214.3	295.6	-479.3
9.563	-276.1	124.7	-204.3	287.4	-480.0
9.596	-292.6	78.96	-195.1	262.0	-886.6
9.629	-300.8	36.11	-186.8	228.6	-1.096E3
9.663	-303.5	-0.695	-179.9	188.5	-1.151E3
9.696	-302.4	-30.25	-174.3	151.1	-643.6
9.729	-299.2	-53.83	-169.8	142.7	-837.7
9.763	-291.2	-79.24	-164.8	106.3	-1.333E3
9.796	-288.4	-89.71	-162.7	42.71	-1.595E3
9.829	-287.4	-93.76	-161.9	3.755	-1.201E3
9.862	-288.2	-91.04	-162.5	-37.26	-1.207E3
9.896	-290.8	-81.11	-164.4	-77.15	-1.168E3
9.929	-294.7	-64.75	-167.6	-114.8	-1.118E3
9.962	-298.4	-41.61	-172.1	-151.7	-1.080E3
9.996	-300.6	-11.96	-177.7	-186.8	-1.169E3
10.029	-299.4	23.61	-184.5	-228.4	-886.4
10.062	-294.8	67.73	-192.9	-250.8	-632.6
10.096	-281.4	109.3	-201.2	-264.1	-536.1
10.129	-260.1	153.5	-210.5	-289.8	-716.8
10.162	-229.6	196.3	-220.5	-311.0	-463.0
10.196	-189.4	236.1	-231.3	-322.3	-355.5
10.229	-142.3	267.7	-242.0	-331.9	-217.9
10.262	-87.04	291.7	-253.4	-339.7	-186.8
10.296	-28.45	303.9	-264.7	-342.1	-6.289
10.329	32.95	304.5	-276.2	-341.9	107.2
10.362	92.04	293.0	-287.4	-333.8	249.8
10.396	146.6	270.8	-298.4	-325.3	327.9
10.429	194.9	239.7	-309.1	-312.6	417.7
10.462	234.5	202.1	-319.2	-296.7	560.3
10.496	265.9	160.5	-328.9	-276.1	698.8
10.529	287.9	118.4	-337.7	-249.4	834.9
10.562	301.7	77.98	-345.5	-220.7	919.9
10.595	308.9	41.44	-352.4	-188.2	1.110E3
10.629	311.8	10.61	-358.1	-147.2	1.126E3
10.662	314.7	-11.93	-362.2	-110.8	1.066E3
10.695	313.4	-29.81	-365.4	-78.68	1.030E3
10.729	312.2	-40.62	-367.4	-41.12	1.135E3
10.762	311.4	-44.72	-368.2	-3.312	1.151E3
10.795	311.7	-41.78	-367.6	35.71	1.168E3
10.829	313.1	-31.77	-365.8	74.56	1.137E3
10.862	314.7	-14.65	-362.7	111.7	1.097E3
10.895	315.0	9.061	-358.4	147.4	1.031E3
10.929	312.4	39.23	-352.8	180.8	1.001E3
10.962	305.9	74.52	-346.3	213.5	917.0
10.995	293.2	114.8	-338.6	242.8	835.2
11.029	272.2	156.4	-330.1	268.2	710.0
11.062	242.7	198.3	-320.7	290.9	610.2
11.095	203.9	236.8	-310.7	308.5	461.7
11.129	156.7	269.3	-300.2	321.9	361.3
11.162	102.5	293.0	-289.3	332.2	104.2
11.195	43.28	306.0	-278.1	330.5	89.47
11.229	-14.69	307.3	-267.3	334.0	71.05
11.262	-75.11	296.7	-255.8	339.8	8.436
11.295	-130.4	274.9	-244.6	332.2	-287.8
11.329	-179.8	244.3	-233.7	321.5	-344.9
11.362	-220.1	206.6	-223.2	308.3	-527.2
11.395	-252.1	164.4	-213.1	288.0	-695.8
11.428	-274.5	122.2	-204.0	260.3	-833.4
11.462	-289.1	81.60	-195.8	232.9	-873.7
11.495	-296.9	44.27	-188.5	202.2	-945.3
11.528	-299.8	11.99	-182.3	169.7	-1.027E3
11.562	-299.6	-14.79	-177.2	134.2	-1.091E3
11.595	-298.0	-34.76	-173.3	96.41	-1.119E3
11.628	-296.1	-48.21	-170.8	59.73	-1.111E3
11.662	-295.0	-55.38	-169.4	22.50	-1.117E3
11.695	-294.8	-55.97	-169.3	-14.91	-1.123E3
11.728	-296.0	-50.28	-170.4	-52.14	-1.108E3
11.762	-297.8	-38.01	-172.7	-88.96	-1.098E3
11.795	-299.5	-19.43	-176.3	-125.1	-1.060E3
11.828	-299.9	5.578	-181.1	-159.9	-997.7
11.862	-297.5	36.23	-186.9	-191.6	-893.4
11.895	-291.2	71.71	-193.8	-219.6	-808.5
11.928	-279.1	110.4	-201.6	-245.1	-689.2
11.962	-260.2	151.2	-210.2	-266.1	-598.1
11.995	-233.3	191.0	-219.3	-284.1	-508.2
12.028	-198.3	228.9	-229.1	-300.7	-377.8
12.062	-154.7	261.1	-239.3	-309.6	-225.6
12.095	-105.7	286.1	-249.7	-314.8	-126.6
12.128	-51.52	302.2	-260.3	-318.5	-48.04
12.161	5.129	308.0	-271.0	-317.9	202.3
12.195	61.79	303.5	-281.5	-306.2	255.9
12.228	113.2	289.5	-291.4	-297.7	212.5
12.261	162.2	266.3	-301.3	-294.8	210.9
12.295	205.1	235.9	-311.0	-282.9	446.3
12.328	240.8	200.7	-320.2	-265.3	556.9
12.361	268.0	163.0	-328.7	-245.1	685.3
12.395	288.2	125.1	-336.5	-220.6	814.1
12.428	301.6	90.00	-343.4	-190.2	911.2
12.461	309.4	58.99	-349.2	-159.7	952.0
12.495	313.0	32.75	-354.0	-127.2	1.011E3
12.528	314.6	12.75	-357.7	-91.99	1.053E3
12.561	314.9	-0.866	-360.2	-56.96	1.072E3
12.595	314.9	-8.107	-361.5	-20.80	1.054E3
12.628	314.6	-8.476	-361.5	13.89	1.057E3
12.661	314.7	-3.016	-360.5	48.83	1.044E3
12.695	314.5	9.396	-358.3	84.24	1.062E3
12.728	313.7	27.81	-354.9	119.0	1.010E3
12.761	310.6	52.75	-350.4	152.3	938.7
12.795	303.6	82.55	-344.8	181.2	852.5
12.828	292.3	116.4	-338.3	208.9	825.0
12.861	274.8	153.2	-330.9	236.3	752.9
12.895	248.7	190.5	-322.5	259.5	656.5
12.928	215.7	226.8	-313.6	279.4	497.6
12.961	173.8	258.5	-303.9	293.6	367.0
12.994	126.6	284.3	-294.0	302.9	309.5
13.028	73.56	300.9	-283.7	314.3	269.3
13.061	16.31	304.9	-273.1	321.7	113.8
13.094	-40.75	301.5	-262.3	321.5	-144.9
13.128	-95.59	288.0	-251.6	312.5	-257.0
13.161	-144.2	265.4	-241.5	302.7	-322.5
13.194	-187.8	235.8	-231.5	292.6	-445.7
13.228	-224.1	201.6	-222.0	272.8	-614.9
13.261	-251.5	165.1	-213.3	250.8	-671.6
13.294	-272.0	128.4	-205.3	228.6	-716.3
13.328	-286.2	93.26	-198.1	203.0	-808.6
13.361	-294.4	61.17	-191.7	174.7	-905.0
13.394	-299.0	33.58	-186.4	142.8	-974.9
13.428	-300.4	11.64	-182.2	109.3	-1.033E3
13.461	-301.1	-4.604	-179.1	74.36	-1.038E3
13.494	-300.8	-14.37	-177.3	39.54	-1.050E3
13.528	-300.5	-18.44	-176.5	5.019	-1.031E3
13.561	-300.6	-16.12	-176.9	-29.73	-1.053E3
13.594	-300.9	-8.039	-178.5	-64.61	-1.023E3
13.628	-300.8	6.488	-181.2	-98.54	-974.2
13.661	-299.2	26.37	-185.0	-129.2	-909.9
13.694	-295.8	51.33	-189.8	-159.2	-829.6
13.727	-289.5	81.05	-195.6	-185.0	-738.0
13.761	-278.1	113.3	-202.2	-207.6	-654.2
13.794	-261.9	148.0	-209.5	-229.0	-636.2
13.827	-239.0	182.9	-217.4	-249.6	-541.0
13.861	-209.0	217.3	-226.1	-266.0	-432.0
13.894	-172.3	247.5	-235.2	-277.5	-331.2
13.927	-129.7	273.3	-244.6	-288.3	-261.0
13.961	-81.71	292.1	-254.4	-295.2	-94.73
13.994	-30.36	302.7	-264.3	-294.9	45.54
14.027	21.42	304.8	-274.0	-291.3	103.7
14.061	72.54	297.8	-283.7	-288.2	162.9
14.094	121.3	282.7	-293.2	-280.9	289.6
14.127	165.4	260.5	-302.4	-268.6	368.8
14.161	203.5	233.0	-311.1	-255.9	434.3
14.194	235.5	201.4	-319.5	-240.4	577.7
14.227	260.9	168.5	-327.1	-217.4	728.4
14.261	279.1	136.5	-333.9	-191.3	789.6
14.294	292.1	106.9	-339.9	-165.0	813.4
14.327	300.8	80.95	-344.9	-137.1	906.4
14.361	306.2	59.37	-349.0	-104.9	977.4
14.394	308.7	43.78	-351.9	-71.18	1.002E3
14.427	309.8	33.82	-353.8	-38.55	984.7
14.461	310.2	29.89	-354.5	-5.394	998.9
14.494	309.7	31.85	-354.1	27.91	987.1
14.527	308.9	39.92	-352.6	60.61	973.9
14.560	306.4	53.52	-350.1	92.61	927.4
14.594	302.1	72.71	-346.5	122.8	877.6
14.627	295.4	96.50	-341.9	150.8	836.4
14.660	284.6	124.2	-336.4	178.6	803.9
14.694	268.4	154.9	-330.0	204.5	734.7
14.727	246.3	187.1	-322.8	227.5	641.4
14.760	217.3	218.4	-314.9	247.3	570.3
14.794	182.3	248.1	-306.3	265.3	438.0
14.827	140.3	273.3	-297.2	277.3	341.0
14.860	93.92	292.0	-287.8	286.7	245.6
14.894	42.90	302.7	-278.1	294.7	155.2
14.927	-9.642	304.6	-268.2	296.7	11.09
14.960	-61.69	297.9	-258.3	295.5	-103.7
14.994	-111.2	282.2	-248.5	289.9	-282.1
15.027	-155.9	259.2	-239.0	276.9	-431.0
15.060	-194.2	231.8	-230.0	260.4	-470.5
15.094	-225.7	200.6	-221.6	245.7	-527.7
15.127	-251.3	167.4	-213.7	226.1	-669.0
15.160	-270.5	135.2	-206.6	200.4	-785.0
15.194	-283.4	104.9	-200.3	173.7	-801.5
15.227	-292.0	78.15	-195.0	147.0	-854.7
15.260	-297.5	55.29	-190.5	117.2	-893.1
15.293	-300.3	37.78	-187.2	86.64	-945.8
15.327	-302.1	25.12	-184.8	55.01	-950.8
15.360	-302.9	18.55	-183.5	22.45	-977.1
15.393	-303.0	17.25	-183.3	-9.485	-936.8
15.427	-302.7	21.89	-184.1	-40.61	-917.5
15.460	-302.0	31.56	-186.0	-70.09	-905.1
15.493	-300.3	46.54	-188.8	-101.0	-903.3
15.527	-296.0	66.68	-192.7	-130.6	-830.2
15.560	-288.9	91.16	-197.5	-156.4	-747.8
15.593	-278.4	118.8	-203.1	-180.1	-713.2
15.627	-263.4	149.1	-209.5	-203.9	-675.1
15.660	-242.2	180.5	-216.7	-225.5	-586.7
15.693	-215.5	212.0	-224.5	-242.9	-421.4
15.727	-182.3	241.0	-232.9	-253.9	-325.5
15.760	-144.7	266.1	-241.5	-263.5	-322.7
15.793	-101.4	285.6	-250.5	-276.0	-234.1
15.827	-53.51	298.8	-259.8	-280.1	-35.16
15.860	-4.677	304.7	-269.1	-277.0	85.76
15.893	44.23	302.8	-278.3	-274.6	96.46
15.927	91.86	292.8	-287.4	-270.8	250.7
15.960	136.6	275.7	-296.4	-258.7	364.3
15.993	175.4	253.7	-304.7	-244.7	439.5
16.026	209.8	227.6	-312.7	-230.9	485.5
16.060	237.3	198.8	-320.0	-211.7	587.1
16.093	259.8	170.2	-326.8	-191.8	640.6
16.126	276.7	142.0	-332.8	-169.2	743.9
16.160	288.8	116.4	-338.1	-142.2	843.8
16.193	296.9	94.73	-342.3	-112.8	896.4
16.226	301.7	77.66	-345.6	-82.55	908.2
16.260	304.3	65.77	-347.8	-52.14	913.3
16.293	306.1	59.27	-349.0	-21.77	933.7
16.326	306.0	58.07	-349.3	9.956	956.0
16.360	305.1	62.75	-348.4	42.18	939.7
16.393	302.5	72.93	-346.4	72.65	912.8
16.426	298.0	88.08	-343.5	102.7	859.2
16.460	291.0	108.2	-339.6	130.5	797.9
16.493	280.7	131.9	-334.8	155.4	736.5
16.526	266.5	158.6	-329.2	179.7	718.9
16.560	246.5	186.7	-322.9	203.2	683.6
16.593	221.2	215.9	-315.7	225.5	568.7
16.626	189.1	243.4	-307.8	241.6	441.9
16.660	151.9	267.3	-299.6	254.0	370.6
16.693	109.4	286.5	-290.9	266.7	271.2
16.726	62.74	299.5	-281.8	272.8	107.4
16.760	14.56	304.8	-272.7	273.0	13.54
16.793	-33.75	302.6	-263.6	273.5	-43.97
16.826	-81.15	292.8	-254.5	270.7	-141.2
16.859	-125.3	276.1	-245.6	263.7	-293.3
16.893	-165.4	254.0	-236.9	251.7	-421.5
16.926	-199.0	227.5	-228.8	235.0	-484.1
16.959	-226.7	199.0	-221.3	219.2	-525.0
16.993	-249.5	169.6	-214.2	200.8	-638.2
17.026	-266.9	141.3	-207.9	176.4	-769.3
17.059	-278.7	115.2	-202.5	149.3	-821.2
17.093	-286.9	92.92	-197.9	121.6	-845.5
17.126	-292.1	74.76	-194.4	93.11	-879.2
17.159	-295.3	61.36	-191.7	63.03	-925.1
17.193	-297.2	53.24	-190.2	31.43	-909.0
17.226	-297.8	50.61	-189.6	1.962	-883.2
17.259	-297.7	52.62	-190.0	-26.74	-863.5
17.293	-295.9	59.80	-191.4	-56.06	-855.8
17.326	-292.8	71.71	-193.8	-83.62	-815.8
17.359	-288.4	88.17	-197.0	-110.4	-766.1
17.393	-281.5	108.7	-201.1	-134.9	-728.6
